seed;training;test;validation;model
3;0.301091;0.434524;0.267857;emotional neutral emotional IT_MF_baseline IT_LF_geomean(abs) > if-else IT_RF_prctile25 -0.75 > 1 HAND_EDA_Original_mean > and if-else mental mental mental HAND_EDA_cross_neg ARM_EDA_Functionals_power_Originalgeomean(abs) > if-else HAND_EDA_Functionals_power_Fil12prctile25 -0.75 + -0.25 > if-else IT_p_Total_mean HAND_EDA_Filt2_kurtosis > if-else physical mental 0.75 -0.5 < ECG_p_total_LF_kurtosis 1 > or 0 IT_PSD_baseline > or if-else ECG_hrv_mean -0.75 / 0.75 HAND_EDA_processed_geomean(abs) * > ARM_EDA_Functionals_power_Filt2harmmean -0.75 -0.25 / ^ 0.25 < and if-else neutral IT_LF_MF_HF ECG_p_LF_kurtosis > IT_LF_prctile25 0.5 > or if-else 
5;0.355903;0.375;0.321429;neutral emotional mental ECG_CCV_HF -0.75 -1 * > if-else HAND_EDA_Filt2_geomean(abs) HAND_EDA_cross_pos - -0.75 ^ 0.25 > if-else physical IT_Original_geomean(abs) 0 IT_LF_baseline HAND_EDA_area / - * IT_PSD_kurtosis > if-else mental neutral IT_VLF_min -0.75 * ECG_amplitude_RR_median < ECG_M -0.25 < or if-else neutral emotional physical ECG_RR_window_median ECG_p_VFL_max > if-else mental emotional ECG_hrv_prctile25 IT_CCV_LF > if-else 0 IT_PSD_harmmean HAND_EDA_Filt1_harmmean + > if-else IT_p_Total_trimmean25 -0.5 - IT_PSD_kurtosis > if-else -0.5 IT_Original_prctile75 IT_LF_std - > ECG_amplitude_RR_mad 0.25 -0.25 - -0.5 * > and if-else -0.5 ECG_M IT_Original_geomean(abs) -0.5 * - > if-else 
4;0.366815;0.354167;0.258929;neutral emotional physical -0.5 0.5 > if-else emotional IT_LF_MF_HF -0.25 < if-else ECG_RR_window_baseline HAND_EDA_Filt2_median > if-else neutral physical emotional mental -0.75 IT_MF_baseline > if-else IT_VLF_baseline ARM_EDA_processed_geomean(abs) < ECG_hrv_trimmean25 0 > and if-else IT_HF_TF 0.5 > ECG_p_HF_trimmean25 ARM_EDA_Original_harmmean -1 ^ > and if-else IT_VLF_max -0.25 -0.25 * IT_LF_MF_HF HAND_EDA_processed_baseline + + > if-else emotional mental 0.5 ARM_EDA_Functionals_power_Filt2prctile75 > if-else physical IT_Original_prctile25 ECG_p_HF_trimmean25 < if-else emotional -0.75 0 < ECG_p_total_LF_std -0.25 < and IT_VLF_max -1 > or if-else neutral emotional -0.5 0.75 > if-else physical neutral 0.25 -0.25 < if-else 1 -0.75 -0.5 - < if-else emotional neutral ARM_EDA_processed_max ECG_amplitude_RR_harmmean < if-else emotional IT_Original_prctile25 -0.25 > if-else 0.75 ECG_PSD_kurtosis < if-else 1 0.75 0.75 - > HAND_EDA_amp_scr ECG_A1_DFA / ECG_amplitude_RR_skewness ARM_EDA_Functionals_power_Originalskewness / + IT_LF_MF_HF HAND_EDA_processed_baseline + < and if-else 1 IT_Original_prctile25 > if-else 
2;0.344742;0.428571;0.303571;physical emotional physical ECG_amplitude_RR_mad ECG_RR_window_trimmean25 < if-else neutral IT_PSD_baseline -1 + HAND_EDA_Functionals_power_Originalgeomean(abs) < if-else neutral neutral physical ECG_p_VFL_max -1 > if-else IT_HF_LF -0.75 > if-else IT_HF_LF 0 0.75 / > if-else -1 0.25 -1 -1 ^ + > if-else mental physical 0.25 1 / -0.25 > if-else mental neutral physical -0.25 -0.25 > if-else IT_Original_min HAND_EDA_Functionals_power_Fil12std / 0.25 > if-else neutral IT_HF_LF HAND_EDA_Original_harmmean + IT_PSD_harmmean > if-else IT_BRV_max 0.25 > HAND_EDA_Filt1_kurtosis 0.5 > or if-else ARM_EDA_processed_baseline ECG_RR_window_kurtosis < 1 0.25 > IT_PSD_skewness ECG_PSD_harmmean > IT_LF_prctile25 ECG_Entropyaprox < and or and HAND_EDA_Filt1_kurtosis -0.5 ECG_DBD * / -0.75 < 0.5 -0.25 < 0 IT_LF_prctile75 < or IT_HF_TF 0 0.75 / > or or or if-else 
1;0.512153;0.627976;0.276786;physical physical 0.75 -1 > if-else neutral 0.25 IT_Original_trimmean25 > if-else neutral emotional ECG_p_HF_std -1 < if-else neutral IT_BRV_min -0.75 > IT_LF_MF_HF 0 > and if-else -1 -0.5 > if-else mental mental ECG_amplitude_RR_std -0.75 HAND_EDA_Filt1_baseline / ARM_EDA_processed_harmmean 1 / * > if-else ECG_RR_window_min 0.75 < ECG_hrv_trimmean25 -0.5 < -0.25 ECG_p_MF_median < or and 0 -0.5 > ECG_RR_window_mad IT_HF_LF > and ECG_hrv_kurtosis 0.5 > ECG_RR_window_max 0.5 < and or or if-else emotional neutral 0.25 1 < if-else emotional IT_Original_trimmean25 -1 < ECG_p_LF_kurtosis 0.75 > and if-else emotional mental IT_PSD_max ARM_EDA_Functionals_power_Filt2prctile25 > 0.25 ARM_EDA_Functionals_power_Filt2std > and if-else neutral physical HAND_EDA_Original_mad IT_PSD_baseline < if-else IT_LF_median -0.75 < 0.5 IT_VLF_min / IT_HF_min < and if-else ECG_hrv_prctile75 HAND_EDA_Original_mad < IT_HF_min ECG_RR_window_min < and -0.75 ECG_HR_min_div_trimmean25 > IT_VLF_skewness IT_PSD_baseline < or or if-else ECG_RR_window_min ARM_EDA_Filt2_min < IT_PSD_max 0 < ECG_CCV_HF IT_BR_mean < and and ECG_HR_min_div_trimmean25 HAND_EDA_cross_pos < -0.5 ARM_EDA_amp_scr > and or IT_MF_HF 0.25 < IT_MF_HF IT_PSD_baseline < and 0 ECG_p_LF_mad < 0.5 ECG_p_VFL_skewness < -0.5 IT_p_Total_prctile75 < or or and or if-else 
6;0.566964;0.535714;0.285714;emotional mental IT_Original_median -0.25 < -0.25 -0.25 > and if-else neutral neutral ARM_EDA_Functionals_power_Originalmax ECG_amplitude_RR_geomean(abs) < if-else mental mental 0.25 -0.75 < if-else 0.75 ECG_hrv_std > 0.25 1 > or if-else IT_PSD_harmmean ARM_EDA_Filt2_kurtosis < IT_VLF_baseline -1 > and if-else emotional IT_Original_prctile75 IT_Original_kurtosis ECG_RR_window_geomean(abs) + HAND_EDA_Filt2_prctile25 * > 1 -1 < 1 0.75 > or and if-else physical -0.25 IT_HF_geomean(abs) < -0.75 0.75 > or IT_MF_skewness ECG_original_mad > and -0.5 HAND_EDA_Functionals_power_Filt2median > IT_RF_prctile25 -0.25 < or 0.25 -0.75 - IT_VLF_baseline > and or ECG_hrv_trimmean25 HAND_EDA_processed_harmmean < IT_VLF_baseline IT_BRV_harmmean > or and if-else 
9;0.347222;0.404762;0.294643;physical neutral -1 IT_Original_harmmean + 0.25 > if-else mental physical physical ECG_RR_window_prctile25 ARM_EDA_n_ocu > if-else IT_VLF_baseline IT_LF_prctile75 > if-else 1 ARM_EDA_processed_max > 0.25 IT_PSD_kurtosis > and if-else neutral physical neutral 0.25 ECG_hrv_mean > if-else 0.75 -0.25 > -0.5 -0.25 < or if-else emotional mental ECG_p_MF_geomean(abs) 0.25 ECG_HF_TF - < if-else IT_BRV_kurtosis IT_PSD_kurtosis > if-else ECG_p_total_LF_median IT_p_Total_std -0.25 - > ECG_original_median 1 * 0.5 > and -1 -0.25 / 0.5 ECG_hrv_mean * / -0.75 IT_PSD_kurtosis / > or if-else neutral neutral ECG_p_LF_mean ECG_original_harmmean > if-else emotional mental 1 0 1 ^ > if-else -1 -1 > if-else physical neutral 0.25 IT_PSD_skewness > if-else emotional mental 0 -1 > if-else physical physical IT_LF_mad -1 > if-else IT_BRV_kurtosis IT_PSD_kurtosis > if-else 1 IT_MF_max > 0.5 ARM_EDA_Original_baseline < ECG_p_LF_prctile25 -0.5 > and and if-else HAND_EDA_Functionals_power_Fil12trimmean25 0.5 < if-else 0 IT_LF_trimmean25 1 - > if-else 
10;0.245536;0.386905;0.276786;mental emotional neutral 0.5 IT_PSD_baseline > if-else physical IT_HF_LF 0.25 > if-else HAND_EDA_Filt2_baseline ECG_HR_min_div_mean < ARM_EDA_Functionals_power_Fil12std IT_MF_baseline < and -0.5 ECG_hrv_median - ECG_Load_index < or if-else physical IT_p_Total_geomean(abs) IT_LF_mad > -0.75 0 < and 0.75 1 < -0.5 ARM_EDA_Functionals_power_Originalharmmean < and and IT_RF_mean ECG_original_trimmean25 -0.5 * ECG_hrv_mean - < or if-else mental neutral 0.25 IT_RF_mean < if-else neutral mental 0 IT_MF_baseline < if-else emotional neutral 0.75 ARM_EDA_Filt2_baseline > if-else 0.25 0.75 < IT_HF_max -1 < or if-else emotional -0.5 0.25 0.25 ^ < if-else ECG_original_std 0.5 / IT_PSD_mean * ECG_hrv_mean - 0.25 0.25 ^ ARM_EDA_Functionals_power_Filt2kurtosis -0.25 0.25 + / - > if-else 0 IT_PSD_skewness < 0 -0.5 < or IT_Original_mean ECG_EI > and -0.5 -0.5 > -1 0.25 > or HAND_EDA_Functionals_power_Originalskewness 0 < and and ARM_EDA_Functionals_power_Fil12mean IT_MF_min > 0.75 IT_RF_trimmean25 > and ARM_EDA_Functionals_power_Originalkurtosis IT_LF_median < 0.5 -0.25 < or or IT_HF_LF 0.25 > and or if-else 
8;0.294891;0.434524;0.25;neutral emotional emotional HAND_EDA_Filt1_prctile25 -0.5 0.75 + > if-else ECG_HR_min_div_mad 1 > HAND_EDA_Filt1_prctile25 ECG_p_VFL_harmmean > and ECG_original_std IT_LF_MF_HF < -0.25 0.75 < or or if-else emotional neutral -0.25 -1 > if-else physical emotional IT_LF_baseline -1 > if-else -0.25 ECG_M < if-else emotional mental IT_MF_min IT_VLF_geomean(abs) - HAND_EDA_processed_skewness > if-else IT_HF_kurtosis -0.75 IT_HF_mad - > if-else neutral emotional -0.25 -0.75 > if-else emotional mental -0.5 -1 > if-else mental mental -1 0 < if-else ECG_HR_min_div_mad ARM_EDA_Functionals_power_Originalmin 1 - < if-else IT_Original_trimmean25 ARM_EDA_Original_median > ECG_original_median ECG_p_VFL_baseline < or IT_p_Total_mad IT_MF_skewness / HAND_EDA_cross_neg IT_BRV_prctile75 - < and if-else -0.5 -1 > IT_p_Total_baseline ECG_original_max < and -0.75 IT_HF_mad - ECG_hrv_geomean(abs) < or -0.75 HAND_EDA_Functionals_power_Fil12min > -0.5 -0.75 > or IT_PSD_baseline IT_HF_kurtosis < and and if-else ECG_HF_TF 0.25 * IT_HF_kurtosis > IT_Original_Area IT_BRV_min > -0.25 0.75 < or -0.75 0.5 < -0.25 0.75 < or and ECG_M ECG_hrv_mad > -1 -1 ^ 0.25 < and or and if-else 
7;0.353919;0.508929;0.3125;neutral mental neutral IT_VLF_mad HAND_EDA_Functionals_power_Originalharmmean -0.25 HAND_EDA_processed_trimmean25 - * < if-else physical physical mental HAND_EDA_Filt2_std IT_LF_harmmean > if-else emotional mental ECG_HR_min_div_mad HAND_EDA_Functionals_power_Filt2std > if-else 0.75 IT_RF_prctile25 < ECG_HR_min_div_geomean(abs) ECG_p_HF_prctile75 < or if-else ECG_hrv_prctile75 IT_RF_prctile75 + IT_PSD_harmmean > if-else -0.5 IT_RF_baseline HAND_EDA_Functionals_power_Originalmean + > 1 HAND_EDA_Functionals_power_Fil12baseline + IT_VLF_baseline < or if-else -0.75 ECG_hrv_prctile25 HAND_EDA_Functionals_power_Filt2baseline - > IT_MF_baseline 1 > and IT_LF_MF_HF 0 -0.25 + < or -0.25 ECG_p_HF_mad > 0.5 HAND_EDA_processed_prctile75 HAND_EDA_Functionals_power_Fil12std + > and -0.25 ARM_EDA_Filt1_mad + IT_LF_MF_HF > IT_LF_MF_HF IT_PSD_harmmean > or or and if-else 
